,precision,recall,f1-score,support
0,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
1,0.5,0.6666666666666666,0.5714285714285714,6.0
2,0.14285714285714285,0.16666666666666666,0.15384615384615385,6.0
3,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
4,0.42857142857142855,0.5,0.46153846153846156,6.0
5,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
6,0.8,0.6666666666666666,0.7272727272727273,6.0
7,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
8,0.75,1.0,0.8571428571428571,6.0
9,1.0,0.6666666666666666,0.8,6.0
10,1.0,0.8333333333333334,0.9090909090909091,6.0
11,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
12,0.625,0.8333333333333334,0.7142857142857143,6.0
13,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
accuracy,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571
macro avg,0.6213435374149661,0.607142857142857,0.6008967223252936,84.0
weighted avg,0.621343537414966,0.6071428571428571,0.6008967223252938,84.0
