,precision,recall,f1-score,support
0,0.7142857142857143,1.0,0.8333333333333334,10.0
1,0.6923076923076923,0.9,0.782608695652174,10.0
2,0.5,0.6,0.5454545454545454,10.0
3,0.75,0.9,0.8181818181818182,10.0
4,0.5263157894736842,1.0,0.6896551724137931,10.0
5,0.6666666666666666,0.2,0.3076923076923077,10.0
6,0.5833333333333334,0.7,0.6363636363636364,10.0
7,0.37037037037037035,1.0,0.5405405405405406,10.0
8,1.0,0.3,0.46153846153846156,10.0
9,1.0,0.4,0.5714285714285714,10.0
10,1.0,0.3,0.46153846153846156,10.0
11,1.0,0.3,0.46153846153846156,10.0
12,0.8,0.8,0.8,10.0
13,0.8,0.4,0.5333333333333333,10.0
accuracy,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286
macro avg,0.7430913976026758,0.6285714285714287,0.6030862385006742,140.0
weighted avg,0.7430913976026758,0.6285714285714286,0.6030862385006741,140.0
