,precision,recall,f1-score,support
0,0.9815950920245399,0.96,0.9706774519716885,500.0
1,0.984,0.984,0.984,500.0
2,0.9775051124744376,0.956,0.9666329625884732,500.0
3,0.9959677419354839,0.988,0.9919678714859438,500.0
4,0.9556840077071291,0.992,0.9735034347399412,500.0
5,0.9861932938856016,1.0,0.9930486593843099,500.0
6,0.978,0.978,0.978,500.0
7,0.994,0.994,0.994,500.0
8,0.998003992015968,1.0,0.999000999000999,500.0
9,1.0,0.998,0.998998998998999,500.0
10,0.998,0.998,0.998,500.0
11,1.0,0.996,0.9979959919839679,500.0
12,0.9979959919839679,0.996,0.996996996996997,500.0
13,0.9900596421471173,0.996,0.9930209371884346,500.0
accuracy,0.9882857142857143,0.9882857142857143,0.9882857142857143,0.9882857142857143
macro avg,0.9883574910124461,0.9882857142857143,0.9882745931671254,7000.0
weighted avg,0.9883574910124462,0.9882857142857143,0.9882745931671252,7000.0
