,precision,recall,f1-score,support
0,0.7375415282392026,0.888,0.8058076225045372,500.0
1,0.8697183098591549,0.988,0.9250936329588015,500.0
2,0.9565217391304348,0.748,0.8395061728395061,500.0
3,0.9958847736625515,0.968,0.9817444219066938,500.0
4,0.9309021113243762,0.97,0.9500489715964741,500.0
5,0.9040307101727447,0.942,0.9226248775710089,500.0
6,0.975,0.858,0.9127659574468086,500.0
7,0.988,0.988,0.988,500.0
8,0.9940357852882704,1.0,0.9970089730807578,500.0
9,0.978,0.978,0.978,500.0
10,0.974559686888454,0.996,0.9851632047477745,500.0
11,0.9666011787819253,0.984,0.9752229930624381,500.0
12,0.9745098039215686,0.994,0.9841584158415841,500.0
13,0.8287671232876712,0.726,0.7739872068230277,500.0
accuracy,0.9305714285714286,0.9305714285714286,0.9305714285714286,0.9305714285714286
macro avg,0.9338623393254538,0.9305714285714285,0.9299380321699581,7000.0
weighted avg,0.9338623393254538,0.9305714285714286,0.929938032169958,7000.0
