,Text,Predicted Label,LLM Response,True Label,Prediction Time
36,For the Australian record label of the same name see Spin Records (Australian label).Spin Records was a record label jointly owned by songwriter Otis René and rhythm and blues performer and music arranger Preston Love.,Album,Album,Company,0.12190508842468262
51,The Government of the Democratic Republic of the Congo is the second institution in the central executive branch of the Democratic Republic of the Congo the first institution being the President of the Democratic Republic of the Congo who has the title of head of state.,OfficeHolder,Office,Company,0.12246036529541016
53,Polskie Linie Lotnicze LOT S.A. (Polish pronunciation: [ˈlɔt] Flight) trading as LOT Polish Airlines is the flag carrier of Poland. Based in Warsaw LOT was established in 1929 making it one of the world's oldest airlines still in operation. Using a fleet of 55 aircraft LOT operates a complex network to 60 destinations in Europe the Middle East North America and Asia.,MeanOfTransportation,Mean,Company,0.1382889747619629
61,Cervélo Cycles is a Canadian manufacturer of racing bicycle frames. Cervélo uses CAD computational fluid dynamics and wind tunnel testing at a variety of facilities including the San Diego Air and Space Technology Center in California USA to aid its designs. Frame materials include carbon fibre.,MeanOfTransportation,Mean,Company,0.12326407432556152
62,Manchester University Press is the university press of the University of Manchester England and a publisher of academic books and journals. Manchester University Press has developed into an international publisher. It maintains its links with the University and is the third largest university press in the United Kingdom after Oxford University Press and Cambridge University Press.,EducationalInstitution,Educ,Company,0.1234588623046875
70,Nationale Regionale Transport is a domestic airline based in Libreville Gabon. Its main base is Libreville International Airport.The airline is on the list of air carriers banned in the European Union.,MeanOfTransportation,Mean,Company,0.12228512763977051
89,The Mexican Council on Foreign Relation 'COMEXI (in Spanish Consejo Mexicano de Asuntos Internacionales) was established the 22 November 2001. So far it is the only plural and multidisciplinary forum focused in the debate and analysis of Mexico’s role in the world and the growing influence of international events on the national agenda. The Council is a civic association nonprofit and independent of government. It is financed entirely by its member's contributions,OfficeHolder,Office,Company,0.1388075351715088
96,Maine Chance Farm was an American Thoroughbred horse racing stable in Lexington Kentucky owned by cosmetics tycoon Elizabeth Arden. Elizabeth Arden raced under the nom de course Mr. Nightingale until 1943 when she adopted the name Maine Chance Farm from her health spa in Mount Vernon Maine. During the nineteen forties and fifties the Maine Chance Farm racing stable was a major force in American horse racing.,Animal,Animal,Company,0.13782215118408203
98,D&G Bus is a bus operator based in Crewe in Cheshire.,MeanOfTransportation,Mean,Company,0.1215674877166748
102,Haudenosaunee Development Institute is the formal organization created by the Haudenosaunee Confederacy Chiefs Council (HCCC) in September 2007 to grant permission to third parties to undertake development upon lands where the HCCC exercise jurisdiction including that area of land considered by the Haldimand Proclamation of 1784 and the Nanfan Treaty of 1701.Haudenosaunee is the proper word used for the Six Nations Native people which is more commonly known as Iroquois by non-Haudenosaunee people.Haundenosaunee Development Institute objectives are consistent with long standing Haudenosaunee principles regarding land use land tenure and environmental planning.Recent efforts to translate these principles have included the Haudenosaunee Confederacy Chiefs Council policy statement referred to as the Eight Points of Jurisdiction which was formally adopted by the HCCC on February 3 2001.,EducationalInstitution,Educ,Company,0.17078924179077148
105,The National Association for Interpretation is a non-profit professional association of natural and cultural resources interpreters primarily in the United States. It is based in Fort Collins Colorado. NAI provides training and certification programs. The NAI publishes the Journal of Interpretation Research a peer-reviewed academic journal.,OfficeHolder,Office,Company,0.1243429183959961
109,Student Volunteer Campus Community (abbreviated SVCC and formerly SVCC Language Schools) is a non-profit organization run by volunteers located in Edmonton Alberta Canada and operates at the University of Alberta as a student volunteer group.,EducationalInstitution,Educ,Company,0.12337493896484375
111,AlMasria Universal Airlines (also known as AlMasria Airlines) is an Egyptian private airline based in Egypt.The airline operates scheduled services from Egypt to the Middle East.'AlMasria' is derived from the Arabic word for 'Egyptian'.,MeanOfTransportation,Mean,Company,0.12379980087280273
113,Ocean Village was a British-American owned cruise line based in Southampton Hampshire UK. Designed to offer an alternative cruise experience Ocean Village was founded by P&O Princess Cruises which later merged with Carnival Corporation to form Carnival Corporation & plc. Ocean Village operated from 2003 until 2010 when the brand was discontinued with the cruise ship Ocean Village transferring to P&O Cruises Australia. Ocean Village became part of P&O Cruises Australia.,MeanOfTransportation,Mean,Company,0.1391756534576416
116,Air Siam was an airline based in Thailand which operated from 1965 until 1976.,MeanOfTransportation,Mean,Company,0.12202644348144531
121,Government Aircraft Factories (GAF) was the name of an aircraft manufacturer owned by the Government of Australia based at Fishermans Bend a suburb of Melbourne in Victoria. It had its origins in the lead-up to World War II during which it was known as the Department of Aircraft Production (DAP). In 1987 GAF was reorganised and renamed as Aerospace Technologies of Australia (ASTA) then privatised. ASTA subsequently formed the nucleus of Boeing Australia.,MeanOfTransportation,Mean,Company,0.1401669979095459
132,Schoology.com is a social network for K-12 schools and higher education institutions focused on collaboration that allows users to create manage and share academic content. Also known as a learning management system (LMS) or course management system (CMS) the cloud-based platform provides tools needed to manage an online classroom.Visually and functionally similar to Facebook the service includes attendance records online gradebook tests and quizzes and homework dropboxes.,EducationalInstitution,Educ,Company,0.13886690139770508
134,PASS Transit is a transit agency in Riverside County California providing bus service to the communities of Banning Beaumont Cabazon and Cherry Valley in the San Gorgonio Pass area.,MeanOfTransportation,Mean,Company,0.1224362850189209
144,LeeTran is the transit bus service operated by the Lee County Transit Department providing service to Bonita Springs Cape Coral Fort Myers Fort Myers Beach and much of the unincorporated area of Lee County Florida. Buses operate Monday through Saturday between 5:00 a.m. and 9:45 p.m. depending on the route.,MeanOfTransportation,Mean,Company,0.13247013092041016
150,UM Airlines (also known as Ukrainian - Mediterranean Airlines or UM Air) is an airline based in Kiev Ukraine. It operates domestic services and services to the CIS countries and the Middle East.,MeanOfTransportation,Mean,Company,0.12340354919433594
165,The Kingsport Area Transit System calling itself KATS is the primary provider of mass transportation in Kingsport Tennessee. The agency was established in 1995 and currently has five routes. Service operates on weekdays only and all buses originate from a city center terminal.,MeanOfTransportation,Mean,Company,0.12385368347167969
175,Gazpromavia (Gazpromavia Aviation) is an airline based in Moscow Russia. It operates passenger and cargo charters mainly in support of the oil and gas industry. It also operates regular domestic flights from Moscow and international charter passenger and cargo services.,MeanOfTransportation,Mean,Company,0.12327289581298828
179,Durham School Services is a school bus operator providing tendered pupil transportation throughout the United States currently operating in 29 states primarily along the West Coast in the southern United States the Midwest and parts of the Northeast. Founded in 1917 and currently a subsidiary of National Express Group it is the second largest school bus contractor in the United States behind First Student.,MeanOfTransportation,Mean,Company,0.13269329071044922
183,MOBIUS is a consortium of libraries in Missouri United States.,OfficeHolder,Office,Company,0.12319374084472656
189,TAR Aerolineas is an airline in Mexico. Their inaugural flight occurred on March 3 2014 between Querétaro-Guadalajara. The company currently operates a fleet of 8 Embraer ERJ 145's to 10 destinations throughout Mexico. Its headquarters and main operational base is in Querétaro.,MeanOfTransportation,Mean,Company,0.13370013236999512
195,Smolenskaerotrans is a charter airline based in Smolensk Russia which specialises in aerial work but also carries cargo,MeanOfTransportation,Mean,Company,0.12308406829833984
200,The Serious Organised Crime Agency (SOCA) was a non-departmental public body of the Government of the United Kingdom which existed from 1 April 2006 until 7 October 2013. SOCA was a national law enforcement agency with Home Office sponsorship established as a body corporate under Section 1 of the Serious Organised Crime and Police Act 2005.,OfficeHolder,Office,Company,0.13956189155578613
220,Azamara Club Cruises (formerly Azamara Cruises) is an up-market cruise line owned by the Norwegian-American company Royal Caribbean Cruises Ltd. as one of their subsidiaries. The line currently operates two ships Azamara Journey and Azamara Quest. The company offers higher-end cruises with a number of amenities included in the fare similar to various other competitors. The cruise line is positioned to be at an up-market status but avoids the designation of a luxury cruise line.,MeanOfTransportation,Mean,Company,0.14155912399291992
224,The J.M. Martinac Shipbuilding Corp. was founded in 1924 by Joseph M. Martinac on the Thea Foss Waterway in Tacoma Washington. It specializes in the construction of tugs trawlers ferries naval patrol craft and power yachts up to 250 feet (76 m) long.,MeanOfTransportation,Mean,Company,0.1329512596130371
228,NTone is a sister imprint to the independent record label Ninja Tune. The imprint is based in London United Kingdom and specialises in experimental electronic music. The label was originally called Ninja Tone but it was felt this was too similar to Ninja Tune. First release was AntiStatic (TONE 1) by Hex released in February 1994 and last one - Sunflower Girl (NTONE 45) by Neotropic in 2001.,Album,Album,Company,0.14032387733459473
246,The University of Information Science (Spanish: Universidad de las Ciencias Informáticas; UCI also known as the University of Information Sciences and University of Informatics Sciences) is a university research center based in Havana Cuba in the municipality of Boyeros. Born as a project of the Cuban Revolution called the Future Project which has two objectives: to computerize the country and develop the software industry to contribute to economic development the same.,EducationalInstitution,Educ,Company,0.13993215560913086
253,The Joyland Amusement Park is a small family-owned traditional amusement park located in Lubbock Texas USA within Lubbock's Mackenzie Park. It typically operates from March to September of each year opening 7 days a week but only during the evening on weeknights.,Building,Building,Company,0.12609410285949707
255,Yaxing Coach (Yangzhou Yaxing Motor Coach Co. Ltd) is a bus manufacturer based in Yangzhou Jiangsu China. It is a subsidiary of Jiangsu Yaxing that was founded in 1998. Buses are produced under the Yaxing and Yangtse brands.,MeanOfTransportation,Mean,Company,0.13287806510925293
271,Pacific Air Express is an airline based in Brisbane Queensland Australia. It operates cargo services to Honiara Nauru and Port Vila; and charter flights in the South Pacific area. Its main bases are Brisbane Airport and Honiara International Airport.,MeanOfTransportation,Mean,Company,0.12576937675476074
280,Corolis (formerly Transports Urbains du Beauvaisis abbreviated to TUB) is the local public transport operator in the town Beauvais and its suburbs in northern France that opened on 2010.,MeanOfTransportation,Mean,Company,0.12497973442077637
305,ChicaGo Dash is an express bus service between Chicago Illinois and Valparaiso Indiana. It is jointly run by the city of Valparaiso and the Valparaiso Redevelopment Commission with substantial financial support from the Northwest Indiana Regional Development Authority. It was launched on October 6 2008.,MeanOfTransportation,Mean,Company,0.13361001014709473
338,Château Quintus is a wine estate of 15 ha located in Saint-Émilion in the AOC of the same name. Formerly named Château Tertre Daugay a Classified Growth of Saint-Émilion it is the property of Quintus SAS a subsidiary of Domaine Clarence Dillon SAS.From the 2011 vintage the grand vin is called Château Quintus and the second wine Le Dragon de Quintus.,Building,Building,Company,0.14273691177368164
364,Philippine Amusement and Gaming Corporation (PAGCOR) is the Philippines 1st largest contributor of revenue after the Tax and Customs Authority. It is a government owned and controlled corporation first established in by Presidential Decree 1067-A and entered itself in a contract with Philippine Casino Operators Corporation (PCOC) in operating the floating casino in the Manila Bay in 1977.,OfficeHolder,Office,Company,0.14144515991210938
368,Med Airlines is a cargo airline based in Casablanca Morocco. It operates cargo charters in Europe and West Africa. Its main base is Mohammed V International Airport Casablanca.,MeanOfTransportation,Mean,Company,0.12705731391906738
373,Fortunair Canada was an Charter Airlines airline based Canada.,MeanOfTransportation,Mean,Company,0.12347865104675293
381,The Matheson was an American automobile manufactured from 1903 to 1912. The President of the company was Charles Walter Matheson born Grand Rapids Michigan March 22 1876. His brother Frank F. Matheson served as company secretary.,MeanOfTransportation,Mean,Company,0.12648296356201172
384,VASD – Viação Aérea Santos Dumont was a Brazilian airline founded in 1944. It was bought by and merged into Transportes Aéreos Nacional in 1952.,MeanOfTransportation,Mean,Company,0.13866543769836426
387,Miramichi Transit is a provider of public transportation based in Miramichi New Brunswick Canada. Founded in 2009 it provides 3 routes in the city. Buses run from approximately 800AM to 600PM on weekdays and 700AM to 500PM on Saturdays. Transit services are provided using small 24 seat buses. The agency also offers charter services.,MeanOfTransportation,Mean,Company,0.14131975173950195
407,The Open Mobile Terminal Platform (OMTP) was a forum created by mobile network operators to discuss standards with manufacturers of mobile phones and other mobile devices. During its lifetime the OMTP included manufacturers such as Huawei LG Electronics Motorola Nokia Samsung and Sony Ericsson,MeanOfTransportation,Mean,Company,0.12653088569641113
410,Windfall Records was a record label started in 1969 and stopped in 1974. Windfall was first distributed by Bell Records. From 1972 until 1974 it was distributed by Columbia Records (now a sister label to Bell's successor Arista Records which was folded into RCA Records in 2011). The most successful act for Windfall was Mountain.,Album,Album,Company,0.14180517196655273
416,Abarth is a racing car and road car maker founded by Carlo Abarth of Turin in 1949. Its logo is a shield with a stylized scorpion on a red and yellow background.,MeanOfTransportation,Mean,Company,0.12587380409240723
419,Kariandusi School Trust is a UK registered charity set up in 2003 for the advancement of education amongst children in rural Kenya by addressing the need for the construction of school buildings and the ongoing provision of school facilities and educational materials in and around those schools.Kariandusi School Trust is registered with the Charity Commission for England and Wales with the charity number 1101103.,EducationalInstitution,Educ,Company,0.14231300354003906
425,Rutaca (Rutas Aéreas C.A.) is an airline based in Ciudad Bolívar Venezuela.,MeanOfTransportation,Mean,Company,0.12462496757507324
426,The Tuvalu Trust Fund is an international sovereign wealth fund established to benefit Tuvalu a small central Pacific island nation by providing income to cover shortfalls in the national budget.,OfficeHolder,Office,Company,0.12522387504577637
432,Mercy Gilbert Medical Center is a full-service 212-bed acute care not-for-profit hospital providing healthcare to the East Valley. Services offered include cardiovascular emergency family birth center gastroenterology pediatric and adolescent sleep center orthopedics and diagnostic services among others. The hospital is a member of Dignity Health one of the largest healthcare systems in the west with 40 hospitals in Arizona California and Nevada.,Building,Building,Company,0.14192533493041992
435,Aeronáutica (also known as Gira Globo Aeronáutica after its parent company) is an airline based in Luanda Angola operating domestic chartered freight and passenger flights out of Quatro de Fevereiro Airport Luanda.,MeanOfTransportation,Mean,Company,0.12694692611694336
439,TeleTime is a Greek local television station serving Western Greece. It includes the prefectures of Achaia Aitoloakarnania Ilia Kefalonia Lefkada and Zakynthos. Its headquarters are in Patras. It offers movies as well as local programs and programs from Greece as well as children's programs and animated series from the United States Australia and the United Kingdom.,MeanOfTransportation,Mean,Company,0.1416161060333252
450,Automobiles Oméga-Six was a French automobile manufactured in the Paris region by Jules Daubeck between 1922 and 1930.,MeanOfTransportation,Mean,Company,0.1264495849609375
472,Matchless is one of the oldest marques of British motorcycles manufactured in Plumstead London between 1899 and 1966. A wide range of models were produced under the Matchless name ranging from small two-strokes to 750 cc four-stroke twins.,MeanOfTransportation,Mean,Company,0.1278083324432373
488,Technocity is a technology park and integrated township in Thiruvananthapuram (Trivandrum) Kerala India dedicated to electronics software and other Information Technology (IT) ventures. It is conceived in 2005 as the fourth phase of development of Technopark Technocity is a complete IT City spread across about 500 acres (200 hectares) which includes not just space for IT/ITES firms but also residential commercial hospitality medical and educational facilities.,Building,Building,Company,0.14349651336669922
499,The National Association of Official Prison Visitors (NAOPV) promotes and helps to maintain the work of United Kingdom Official Prison Visitors.,OfficeHolder,Office,Company,0.12578177452087402
