,Text,Predicted Label,LLM Response,True Label,Prediction Time
51,The Government of the Democratic Republic of the Congo is the second institution in the central executive branch of the Democratic Republic of the Congo the first institution being the President of the Democratic Republic of the Congo who has the title of head of state.,OfficeHolder,Office,Company,0.10061430931091309
88,Ranik Ultimate Fighting Federation (RUFF) is the first Chinese mixed martial arts (MMA) organization sanctioned by the General Administration of Sport of China. The winners of the title fights will be crowned as the national MMA champions of China in their respective weight classes. RUFF held its first event in August 2011 in Shanghai before presenting in Chongqing Hohhot Nanjing and Sanya.,Athlete,Ath,Company,0.1044161319732666
109,Student Volunteer Campus Community (abbreviated SVCC and formerly SVCC Language Schools) is a non-profit organization run by volunteers located in Edmonton Alberta Canada and operates at the University of Alberta as a student volunteer group.,EducationalInstitution,Educ,Company,0.09677696228027344
123,The American Society of Plant Taxonomists (ASPT) is a botanical organization formed in 1935 to foster encourage and promote education and research in the field of plant taxonomy to include those areas and fields of study that contribute to and bear upon taxonomy and herbaria according to its bylaws.[1] It is incorporated in the state of Wyoming and its office is at the University of Wyoming Department of Botany.The ASPT publishes a quarterly botanical journal Systematic Botany and the irregular series Systematic Botany Monographs.,WrittenWork,Written,Company,0.1194772720336914
132,Schoology.com is a social network for K-12 schools and higher education institutions focused on collaboration that allows users to create manage and share academic content. Also known as a learning management system (LMS) or course management system (CMS) the cloud-based platform provides tools needed to manage an online classroom.Visually and functionally similar to Facebook the service includes attendance records online gradebook tests and quizzes and homework dropboxes.,EducationalInstitution,Educ,Company,0.10516762733459473
246,The University of Information Science (Spanish: Universidad de las Ciencias Informáticas; UCI also known as the University of Information Sciences and University of Informatics Sciences) is a university research center based in Havana Cuba in the municipality of Boyeros. Born as a project of the Cuban Revolution called the Future Project which has two objectives: to computerize the country and develop the software industry to contribute to economic development the same.,EducationalInstitution,Educ,Company,0.12104153633117676
253,The Joyland Amusement Park is a small family-owned traditional amusement park located in Lubbock Texas USA within Lubbock's Mackenzie Park. It typically operates from March to September of each year opening 7 days a week but only during the evening on weeknights.,Building,Building,Company,0.10250568389892578
260,The Biblical Archaeology Society is a non-denominational organization that supports and promotes biblical archaeology. It publishes Biblical Archaeology Review. Its past publications included Bible Review (1985–2005) and Archaeology Odyssey (1998–2006). The Biblical Archaeology Society also publishes books about biblical archaeology aimed at a general readership.,WrittenWork,Written,Company,0.10383820533752441
281,The Flanders Automobile Company was a short-lived US-American automobile manufacturer which operated in Detroit Michigan from 1910 to 1913.It was the brainchild of Walter E. Flanders (1871–1923) who formerly held a position as General Factory Manager at the Ford Motor Company's Piquette avenue plant. There he co-invented the ingenious manufacturing methods which made the Model T Ford so famous.In 1908 Flanders left the Ford Motor Company and co-founded together with Bernard F.,MeanOfTransportation,Mean,Company,0.12457275390625
282,The Original Pantry Cafe is an iconic coffee shop and restaurant in Los Angeles California. Located at the corner of 9th and Figueroa in Downtown L.A.'s South Park district The Pantry (as it is known by locals) claims to never have closed or been without a customer since it opened in 1924 including when it changed locations in 1950 to make room for a freeway off-ramp. It served lunch in the original location and served dinner at the new location the same day.,Building,Building,Company,0.12445187568664551
305,ChicaGo Dash is an express bus service between Chicago Illinois and Valparaiso Indiana. It is jointly run by the city of Valparaiso and the Valparaiso Redevelopment Commission with substantial financial support from the Northwest Indiana Regional Development Authority. It was launched on October 6 2008.,MeanOfTransportation,Mean,Company,0.10369634628295898
326,The Factory was the name of Andy Warhol's New York City studio which had three different locations between 1962 and 1984. The original Factory was on the fifth floor at 231 East 47th Street in Midtown Manhattan. The rent was only about one hundred dollars a year.[citation needed] Warhol left in 1968 when the building was scheduled to be torn down to make way for an apartment building.,Building,Building,Company,0.10647869110107422
338,Château Quintus is a wine estate of 15 ha located in Saint-Émilion in the AOC of the same name. Formerly named Château Tertre Daugay a Classified Growth of Saint-Émilion it is the property of Quintus SAS a subsidiary of Domaine Clarence Dillon SAS.From the 2011 vintage the grand vin is called Château Quintus and the second wine Le Dragon de Quintus.,Building,Building,Company,0.11483931541442871
381,The Matheson was an American automobile manufactured from 1903 to 1912. The President of the company was Charles Walter Matheson born Grand Rapids Michigan March 22 1876. His brother Frank F. Matheson served as company secretary.,MeanOfTransportation,Mean,Company,0.10308289527893066
419,Kariandusi School Trust is a UK registered charity set up in 2003 for the advancement of education amongst children in rural Kenya by addressing the need for the construction of school buildings and the ongoing provision of school facilities and educational materials in and around those schools.Kariandusi School Trust is registered with the Charity Commission for England and Wales with the charity number 1101103.,EducationalInstitution,Educ,Company,0.10685563087463379
432,Mercy Gilbert Medical Center is a full-service 212-bed acute care not-for-profit hospital providing healthcare to the East Valley. Services offered include cardiovascular emergency family birth center gastroenterology pediatric and adolescent sleep center orthopedics and diagnostic services among others. The hospital is a member of Dignity Health one of the largest healthcare systems in the west with 40 hospitals in Arizona California and Nevada.,Building,Building,Company,0.11652469635009766
450,Automobiles Oméga-Six was a French automobile manufactured in the Paris region by Jules Daubeck between 1922 and 1930.,MeanOfTransportation,Mean,Company,0.09939193725585938
472,Matchless is one of the oldest marques of British motorcycles manufactured in Plumstead London between 1899 and 1966. A wide range of models were produced under the Matchless name ranging from small two-strokes to 750 cc four-stroke twins.,MeanOfTransportation,Mean,Company,0.10437941551208496
488,Technocity is a technology park and integrated township in Thiruvananthapuram (Trivandrum) Kerala India dedicated to electronics software and other Information Technology (IT) ventures. It is conceived in 2005 as the fourth phase of development of Technopark Technocity is a complete IT City spread across about 500 acres (200 hectares) which includes not just space for IT/ITES firms but also residential commercial hospitality medical and educational facilities.,Building,Building,Company,0.10631322860717773
499,The National Association of Official Prison Visitors (NAOPV) promotes and helps to maintain the work of United Kingdom Official Prison Visitors.,OfficeHolder,Office,Company,0.10000061988830566
516,Mithila has been reputed for its great and outstanding culture civilization tradition and heritage in the whole world since time immmemorial. The splendour of the ideal life of Mother Sita not only purified the soil of mithila but also spread brightness in the entire universe. On this very fertile land of Mithila famous eye surgeon Dr.,Artist,Artist,EducationalInstitution,0.1048283576965332
569,Osborne King originally Osborne King & Megran is a commercial property consultancy firm based in Belfast UK and private partnership of chartered surveyors in the United Kingdom. It is among the oldest firms of its kind in Ireland having been founded in 1947. It is known for its public sector workwith contracts in defence county councils government offices and educational facilities.,Company,Company,EducationalInstitution,0.1050424575805664
603,Human resource policies are systems of codified decisions established by an organization to support administrative personnel functions performance management employee relations and resource planning.Each company has a different set of circumstances and so develops an individual set of human resource policies.,Company,Company,EducationalInstitution,0.10351824760437012
650,The Regional Institute of Ophthalmology and Government Ophthalmic Hospital (commonly called the Egmore Eye Hospital) Chennai is the oldest eye hospital in the Indian subcontinent and in Asia.,Building,Building,EducationalInstitution,0.09999275207519531
879,The Sisters of Charity of Jesus and Mary came to Galle Sri Lanka in 1896 for more than 11 years there was only one house of the SCJM in Galle. The second foundation was proposed from 1906 especially by M. Tiburce De Mol Superior of Galle. In collaboration with the Jesuits the sisters started the work and by 1908 they finished the convent and the school. on 15 April 1908 Sr. Josephine Halewijn and Sr.,Building,Building,EducationalInstitution,0.12795186042785645
945,Conception Abbey is a monastery of the Swiss-American Congregation of the Benedictine Confederation. The monastery founded by the Swiss Engelberg Abbey in 1873 in northwest Missouri's Nodaway County was raised to a conventual priory in 1876 and elevated to an abbey in 1881. At present the community numbers sixty-five monks who celebrate the Eucharist and Liturgy of the Hours daily and who staff and administer Conception Seminary College the Printery House and the Abbey Guest Center.,Building,Building,EducationalInstitution,0.12781739234924316
947,Wintec is an Australian saddle manufacturer known for the first synthetic saddles.,Company,Company,EducationalInstitution,0.10157036781311035
997,The National Institute of Technology and Evaluation (製品評価技術基盤機構 Seihin Hyōka Gijutsu Kiban Kikō) or NITE is an incorporated administrative agency (an independent administrative institution ) established by Japanese government aiming to contribute to the “safety and security of life” supported by reliable technology and information.,Company,Company,EducationalInstitution,0.10600495338439941
1022,Adam Rittenberg is a blogger and sports journalist for ESPN's college football section dedicated to the Big Ten Conference in college football. Before 2008 when he joined ESPN he was a sports writer at Daily Herald (Arlington Heights) in Illinois. Rittenberg is a graduate of Northwestern University and resides near Chicago Illinois.,OfficeHolder,Office,Artist,0.10634613037109375
1056,Ralph David Foster (April 25 1893–August 11 1984) was an American broadcasting pioneer and philanthropist who created the framework for Springfield Missouri to challenge Nashville Tennessee as the nation's country music capital during the 1950s. His KWTO was a stepping-stone for many top country artists; and with his music businesses led to creation of Ozark Jubilee the first U.S. network television program to feature country's top stars.,OfficeHolder,Office,Artist,0.1270461082458496
1061,Serge Lang (June 6 1920–November 21 1999) was a French journalist alpine skier and the founder of the alpine skiing World Cup. As a journalist he covered alpine skiing cycling and other sports for five major publications. In the mid-1960s he envisioned a season-long series of ski races which became the World Cup skiing circuit. He continued to guide the growth of the World Cup and the sport of ski racing over the next two decades.,Athlete,Ath,Artist,0.12695002555847168
1121,Ochirbatyn Dashbalbar (Mongolian: Очирбатын Дашбалбар; 1957—1999) was a Mongolian writer and politician.,OfficeHolder,Office,Artist,0.10189366340637207
1131,I. Newton Baker was private secretary to and biographer of Robert G. Ingersoll. He was earlier one of the editors of the American Sunday-School Times.,OfficeHolder,Office,Artist,0.10973119735717773
1138,Hilde Haugsgjerd (born 7 July 1952) is a Norwegian newspaper editor.She was born in Oslo. She was the party leader of the Red Electoral Alliance from 1979 to 1981 and was married to the party's first leader Sigurd Allern from 1972 to 1977.She worked as a journalist in Klassekampen and Dagbladet as well as information director of Rikshospitalet before becoming a newspaper editor.,OfficeHolder,Office,Artist,0.12730097770690918
1165,William Farquhar Payson (1876-1939) was an American author. He was born in New York city February 18 1876 the son of Francis and Mary F. (Dabney) Payson and grandson of John Larkin and Frances (Lithgow) Payson and of Charles Henry and Ellen M. (Jones) Dabney and a descendant of Edward Payson (1614–1675). He received his preparatory education in England and in New York city; was a student at Columbia University 1892–93 and in 1893 engaged in journalism.,OfficeHolder,Office,Artist,0.12966704368591309
1207,George Wheeler Hinman (November 19 1864 - March 31 1927) was an American writer and newspaper publisher. He also served as the president of Marietta College in Ohio from 1913-1918.Hinman was born in Mount Morris New York in 1864 and graduated from Hamilton College in New York in 1884. After working at newspapers in Chicago and St. Louis he obtained a masters and Ph.D. degree from Heidelberg University in 1889.,OfficeHolder,Office,Artist,0.12864446640014648
1287,Raymond Harry Ray Beckett (born 1903 died 1983) was an Australian journalist newspaper editor and author.Before becoming a journalist he worked as a rouseabout in South Australia. His first position as a journalist was working for the Adelaide Advertiser where he was paid one penny per line of copy. Other positions he has held include: chief sub-editor at the Sydney Telegraph Assistant Editor of the Sunday Telegraph and the Sun-Herald and editor of the Sunday Mirror.,OfficeHolder,Office,Artist,0.10953736305236816
1311,Einar Hålien (born 17 November 1963) is a Norwegian editor.He was born in Fagernes. He was hired as a journalist in the Norwegian Broadcasting Corporation in 1989 and led the district offices of the Broadcasting Corporation in Nordland from 1993 to 1995 and Hordaland from 1995 to 1997. He was appointed chief editor of the large regional newspaper Bergens Tidende in 1997 and became director in Schibsted in 2008.,OfficeHolder,Office,Artist,0.12903523445129395
1321,Dean Anthony Gratton (born 1968) is an author and columnist specializing in wireless communications.He was born in Cardiff and secured his first software engineering role with Coinmaster Manufacturing Limited (later Coinmaster Gaming Products Limited) Penarth Road Cardiff which entered into administrative receivership March 2003.Gratton moved to Cambridge England in the mid-1990s to further his career in software engineering.,OfficeHolder,Office,Artist,0.1096503734588623
1330,Hayashi Hōkō (林 鳳岡 January 11 1644 – July 22 1732) also known as Hayashi Nobutatsu was a Japanese Neo-Confucian scholar teacher and administrator in the system of higher education maintained by the Tokugawa bakufu during the Edo period.,OfficeHolder,Office,Artist,0.10794782638549805
1335,Ernest Sefton was a British film actor. He was the brother of Violet Loraine.,OfficeHolder,Office,Artist,0.10159015655517578
1368,José Antonio Lacayo de Briones y Palacios (1679–1756) was an intendant or intendente (a type of viceroyal governor) in Central America during the Spanish colonial period. He was Governor of Costa Rica from 1713 to 1717 and Governor of Nicaragua from 1740 to 1745.,OfficeHolder,Office,Artist,0.12163376808166504
1373,Lions of Medina is a book written by historian Doyle Glass first published by Coleche Press on May 1 2007 and subsequently by NAL Caliber (Penguin) on July 1 2008.,WrittenWork,Written,Artist,0.10471272468566895
1402,William Boyd Allison Davis (October 14 1902 – November 21 1983) was an educator anthropologist writer researcher and scholar. He was considered one of the most promising black scholars of his generation and became the first African-American to hold a full faculty position at a major white university when he joined the staff of the University of Chicago in 1942 where he would spend the balance of his academic life.,OfficeHolder,Office,Artist,0.1088109016418457
1432,Winifred Hamrick Farrar (5 March 1923 – 6 November 2010) was the Poet Laureate of Mississippi from 1978 to 2010.She was born on a family farm near Collinsville. She graduated from the University of Mississippi in 1945 married Robert H. Farrar and taught English for thirty years in public schools in Meridian. She earned a Master's degree from the University of Southern Mississippi in 1962.She was appointed Poet Laureate on 31 July 1978 by Governor Cliff Finch.,OfficeHolder,Office,Artist,0.14025259017944336
1434,Henry Drisler (27 December 1818 – 30 November 1897) was an American classical scholar.,OfficeHolder,Office,Artist,0.10227274894714355
1473,Axel Christian Zetlitz Sømme (1899 – 1991) was a Norwegian geographer political activist magazine editor and newspaper editor.He was born in Stavanger. As a student he was politically active in the Mot Dag movement and edited the magazine Mot Dag in 1921. He was the first editor of the newspaper Rjukan Arbeiderblad.,OfficeHolder,Office,Artist,0.11007976531982422
1475,Karen DeYoung is a Pulitzer Prize-winning American journalist and is the associate editor for The Washington Post. DeYoung was born in Florida and she grew up in St. Petersburg Florida. She received Bachelor degrees in journalism and communications from the University of Florida. After graduation DeYoung worked as a non-staff stringer in West Africa. In 1975 she joined the Post.,OfficeHolder,Office,Artist,0.1090538501739502
1487,Carlos Vaz Ferreira (October 15 1872 – January 3 1958) was an Uruguayan philosopher writer and academic. Influenced by John Stuart Mill and Herbert Spencer he is notable for introducing liberal pluralistic political values and pragmatic philosophical concepts to South American society.,OfficeHolder,Office,Artist,0.1187896728515625
1490,Vittorio Feltri (born 25 June 1943) is an Italian journalist and editor in chief.,OfficeHolder,Office,Artist,0.10474085807800293
1538,Joseph Chen Zhonghua (陈中华) courteasy name Dongliang (栋梁) born in 1961 Shandong Province China is a Chinese martial arts practitioner teacher and author. Chen studied with two outstanding eighteenth generation Chen-style t'ai chi ch'uan (陳式太極拳) experts Hong Junsheng (洪均生; 1907 - 1996) and Feng Zhiqiang (冯志强 1928-2012). He and his family emigrated to Canada in 1985.,Artist,Artist,Athlete,0.12913870811462402
1588,Colin J.,Artist,Artist,Athlete,0.10085892677307129
