,precision,recall,f1-score,support
0,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
1,0.5,0.16666666666666666,0.25,6.0
2,0.0,0.0,0.0,6.0
3,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
4,0.6666666666666666,1.0,0.8,6.0
5,0.75,0.5,0.6,6.0
6,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
7,0.0,0.0,0.0,6.0
8,0.0,0.0,0.0,6.0
9,0.6,0.5,0.5454545454545454,6.0
10,0.375,0.5,0.42857142857142855,6.0
11,0.14285714285714285,0.16666666666666666,0.15384615384615385,6.0
12,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
13,0.07692307692307693,0.3333333333333333,0.125,6.0
accuracy,0.34523809523809523,0.34523809523809523,0.34523809523809523,0.34523809523809523
macro avg,0.38211015175300883,0.34523809523809523,0.3386056403913547,84.0
weighted avg,0.3821101517530089,0.34523809523809523,0.3386056403913547,84.0
