,precision,recall,f1-score,support
0,0.9914529914529915,0.9747899159663865,0.9830508474576272,119.0
1,0.9504132231404959,0.9663865546218487,0.9583333333333334,119.0
2,0.905511811023622,0.9663865546218487,0.9349593495934959,119.0
3,0.9818181818181818,0.907563025210084,0.9432314410480349,119.0
4,0.9916666666666667,1.0,0.99581589958159,119.0
5,0.957983193277311,0.957983193277311,0.957983193277311,119.0
6,0.9464285714285714,0.8907563025210085,0.9177489177489178,119.0
7,0.9354838709677419,0.9747899159663865,0.9547325102880658,119.0
8,0.8879310344827587,0.865546218487395,0.8765957446808511,119.0
9,0.8770491803278688,0.8991596638655462,0.8879668049792531,119.0
10,0.0,0.0,0.0,0.0
accuracy,0.9403361344537815,0.9403361344537815,0.9403361344537815,0.9403361344537815
macro avg,0.8568853385987464,0.8548510313216195,0.8554925492716801,1190.0
weighted avg,0.9425738724586209,0.9403361344537815,0.9410418041988481,1190.0
