,Text,Predicted Label,LLM Response,True Label,Prediction Time
0,An employee suffered a foot injury requiring surgery when his left foot was pinched between the forklift he was operating and a racking system.,Crushing injuries,Crushing injuries,"Soreness, pain, hurt-nonspecified injury",0.3131554126739502
1,An employee was setting piles. A pile driver struck the employee as it moved from one area to another; the employee suffered an injury and was hospitalized.,Fractures,Fractures,"Traumatic injuries and disorders, unspecified",0.2271263599395752
2,An employee became faint and dizzy while painting in an apartment. He was hospitalized.,"Soreness, pain, hurt-nonspecified injury",8,"Traumatic injuries and disorders, unspecified",0.1758561134338379
6,"While descending a step ladder, an employee missed a bottom step and fell to the floor, possibly fracturing the right hip.",Fractures,Fractures,"Soreness, pain, hurt-nonspecified injury",0.22730493545532227
13,"An employee was cleaning the boat and turtle traps while other crew members were pulling items such as ice chests, paddles/push poles, and the electrical conduit from the boat. The electrical conduit was then leaned against the front of the boat to be washed. The injured employee then got into the boat to help lift a box of nets. To pull the box from the gunwale, the employee exited the boat, and as they did, the electrical conduit suddenly shifted. One fell toward the employee and as it fell, the employee landed on the end of the pole and was impaled. The employee was hospitalized for internal bleeding and required surgery.",Internal injuries to organs and blood vessels of the trunk,5,"Puncture wounds, except gunshot wounds",0.21961760520935059
19,An employee was inspecting a roof when he stumbled and fell 15 feet through a skylight.,Fractures,Fractures,"Traumatic injuries and disorders, unspecified",0.22320079803466797
20,"An employee fell from a stepladder to the ground while trying to grab an item off a shelf, injuring his elbow, back, and head.","Traumatic injuries and disorders, unspecified",Traumatic injuries,"Soreness, pain, hurt-nonspecified injury",0.22858071327209473
25,"An employee was installing trim around a window using a nail gun when he lowered the nail gun and it went off, shooting a nail into his leg.","Cuts, lacerations","Cuts,","Puncture wounds, except gunshot wounds",0.23264837265014648
26,"An employee was measuring wind turbine blades on a scaffold when the scaffold hoist malfunctioned, causing the employee to fall approximately 140 feet to the ground and suffer severe body injuries.",Fractures,Fractures,"Traumatic injuries and disorders, unspecified",0.23720431327819824
32,"On February 20, 2015, an employee was injured when a Genie man lift rolled over. The employee was hospitalized.",Fractures,Fractures,"Traumatic injuries and disorders, unspecified",0.23006534576416016
33,"An employee was pinned between two pickup trucks inside the building, sustaining external and internal bruising in the abdomen.",Crushing injuries,Crushing injuries,Internal injuries to organs and blood vessels of the trunk,0.228316068649292
34,"An employee descended from a forklift to fill a container with a chemical from a tote that was mounted on the forks of a forklift. The chemical tote hit the employee, resulting in injury and hospitalization.",Unknown,Categorize,"Traumatic injuries and disorders, unspecified",0.23749613761901855
