,Text,Predicted Label,LLM Response,True Label,Prediction Time
10,An employee was repairing an air conditioning unit when the homeowner's dog bit him. The employee sustained injuries requiring stitches and was hospitalized.,"Puncture wounds, except gunshot wounds",Puncture,"Open wounds, unspecified",0.14602899551391602
13,An employee was lifting a beam and suffered an aneurysm in the torso.,Cerebral and other intracranial hemorrhages,Cere,Internal injuries to organs and blood vessels of the trunk,0.1456151008605957
23,An employee was stepping over a torque machine when he slipped and fell. He sustained a severe laceration to the arm and was admitted to the hospital.,Cuts and abrasions or bruises,Cuts,"Cuts, lacerations",0.15137219429016113
31,An electrical technician was using a multimeter test for voltage across a live circuit and sustained burns from an arc flash requiring hospitalization.,Electrical burns  any degree,Electrical,"Electrical burns, unspecified",0.14819025993347168
34,Two employees were setting up a multi-die header machine. The machine was turned on while one of the employees was adjusting a bolt inside it. The employee's right middle finger tip was crushed between the bolt and the machine's oscillator and had to be amputated. The incident took place during a training activity.,Amputations,Amput,Crushing injuries,0.156158447265625
36,"An employee was trying to free a utility pole section for disposal. The pole came loose, struck the employee, and knocked him off the trailer he was working from. He fell and struck his head on the ground, suffering head trauma, lacerations, and possible fractures.",Fractures,Fract,"Intracranial injuries, unspecified",0.1652977466583252
38,An employee was forming a piece of round metal on a forming press and lacerated the right thumb and index fingers.,Cuts and abrasions or bruises,Cuts,"Cuts, lacerations",0.14844393730163574
42,An employee's hand and forearm contacted a blade used to cut chicken for marination. The employee sustained several lacerations.,Cuts and abrasions or bruises,Cuts,"Cuts, lacerations",0.15889573097229004
49,"An employee was installing water-proofing on a balcony with a 2x4 wooden railing when the railing cracked and became off place. The employee fell three stories to the ground, breaking his hands and suffering head trauma.",Fractures,Fract,"Fractures and other injuries, unspecified",0.15194296836853027
52,An employee slipped and fell and hit their head on the floor.,Intracranial injuries and injuries to internal organs,Intr,"Soreness, pain, hurt-nonspecified injury",0.14827823638916016
54,A temporary employee was walking when they tripped over a thick layer of mud/debris and fell. The employee sustained a fractured elbow and a dislocated shoulder requiring surgery.,Fractures,Fract,Fractures and soft tissue injuries,0.15103650093078613
57,"An employee was cleaning press rollers with a rag when his rag was caught between both rollers, pulling his fingers into the nip point between the rollers. The skin was torn from his fingers.",Amputations,Amput,"Avulsions, enucleations",0.14872026443481445
58,"An employee was overcome by the smell of gasoline, which was on a patient's clothing, and suffered respiratory problems. The employee was hospitalized.",Other or unspecified allergic reactions,Other or,"Other respiratory system symptoms-toxic, noxious, or allergenic effect",0.14836692810058594
60,An employee was judging a polo match and was struck by a horse. The employee was hospitalized with a broken leg and a dislocated shoulder.,Fractures,Fract,Fractures and dislocations,0.15056848526000977
62,"An employee was removing a part from a brake press when the machine's backstop came back and caught the employee's finger against the bottom die. The employee's fingertip was crushed and degloved, and the employee was hospitalized.",Amputations,Amput,"Avulsions, enucleations",0.1523118019104004
63,"An employee was welding plates inside a culvert using a stick welder when the welder ignited his clothes. He suffered third degree burns to his chest, arms, hands, and head, requiring hospitalization. Fire-resistant clothes were not worn at the time.",Third or fourth degree electrical burns,Third or,Third or fourth degree heat (thermal) burns,0.15273475646972656
64,"An employee was using a firehose to clean the floor between slabs of granite when a slab fell off its support and struck the employee. The employee suffered a crushed pelvis, left hand injuries, and multiple rib fractures.",Fractures,Fract,Crushing injuries,0.1544499397277832
66,An employee was assaulted leaving the store after his shift. He was hospitalized with multiple lacerations and a possible concussion.,Cuts and abrasions or bruises,Cuts,Concussions,0.15197396278381348
71,An employee's hand got caught in a bottle molding machine during cleaning activities.,Amputations,Amput,"Soreness, pain, hurt-nonspecified injury",0.14988994598388672
79,"An employee was on a 6-foot step ladder, using a wire cutter/stripper to prepare a wire for reconnection to a light fixture in a drop ceiling. A short-circuit caused a flash of light and the employee fell from the ladder to the concrete floor. The employee suffered two broken ribs on the left side, a bruised left lung, and a contusion, and was hospitalized.",Fractures,Fract,"Fractures and other injuries, n.e.c.",0.1596393585205078
89,An employee scratched his left eye on a stationary exterior metal panel of an ice machine.,"Soreness, pain, hurt-nonspecified injury",Sore,"Abrasions, scratches",0.16515040397644043
92,"An employee was on a ladder inside of a trailer, attempting to correct the tension on the door. When he released the tension, the door knocked him off the ladder. He suffered fractured ribs and air outside of his lung.",Internal injuries to organs and blood vessels of the trunk,Internal injuries,"Fractures and other injuries, n.e.c.",0.15555238723754883
95,An employee was exposed to carbon monoxide from a forklift and began to feel lightheaded. The employee was later was found unresponsive in the booth and was hospitalized.,"Poisoning, including poisoning-related asphyxia",Poison,"Poisoning, toxic, noxious, or allergenic effect, unspecified",0.14946603775024414
97,"An employee was applying wax to the floors when he walked on the wax, slipped, lost his balance, and fell, hitting his head on 
a clothing rack before ultimately hitting the ground. He suffered a hemorrhage and laceration to the head.",Cuts and abrasions or bruises,Cuts,Cerebral and other intracranial hemorrhages,0.1529538631439209
