,Text,Predicted Label,LLM Response,True Label,Prediction Time
0,"An employee was performing maintenance on a horizontal grinder and had the guard in an upright position to access the work area. A strong gust of wind displaced the guard and it fell on the employee's head, resulting in torn neck ligaments. The employee was wearing a hard hat at the time of the incident.",Traumatic injuries or exposures  unspecified,Traumatic injuries or exposures  unspecified,"Major tears to muscles, tendons, ligaments",0.479219913482666
1,"An employee was on a ladder installing a security camera. The employee fell to the ground about 20 feet below and suffered multiple injuries, including fractures to their back and arms.",Fractures,Fractures,Fractures,0.24594688415527344
2,"On October 18, 2022, at approximately 4:45 p.m., an employee was attempting to retrieve a glass jar of product that had fallen between a transition point of two conveyors. The employee's right hand made contact with the conveyor belt, causing the skin on the top of their hand to be removed. The employee was hospitalized.","Avulsions, enucleations","Avulsions, enucleations","Avulsions, enucleations",0.4483771324157715
3,"An employee slipped on a clear cosmetic substance on a store floor. She fell, suffering a head laceration and a concussion.",Concussions,Concussions,Concussions,0.24550819396972656
4,"An employee was loading a 60-pound stainless steel part onto a soup kettle fixture. The part fell onto his thumb, resulting in a possible amputation.",Amputations,Amputations,Amputations,0.24359512329101562
5,"On June 4, 2019, an employee was using an ATV to spray herbicide along the grass beside a highway. The vehicle got stuck in a rut and was being pulled out by another ATV when it rolled over, ejecting her to the ground. She suffered a fracture to the lower left leg and was hospitalized.",Fractures,Fractures,Fractures,0.24985980987548828
6,"On February 16, 2019, an employee was placing a liquor bottle on a shelf. The bottle broke and lacerated his right palm. He was hospitalized.","Cuts, lacerations","Cuts, lacerations","Cuts, lacerations",0.3887064456939697
7,A driver was unjamming a load of freight. He fell from the freight and broke his lower leg.,Fractures,Fractures,Fractures,0.2583484649658203
8,"An employee was taking down a shore post for deck forming. After removing the pin from the shore post, he put his left hand on the top portion of the post and his right middle finger in one of the adjustment holes for the pin. When he proceeded to remove the shore post, it slid down and his middle finger was caught between the adjustable top slide and the adjustment hole itself, lacerating the very tip of his middle finger and resulting in an amputation.",Amputations,Amputations,Amputations,0.2492680549621582
9,"The morning after a shift spent repeatedly bending and lifting up to 20 pounds, a temporary employee suffered pain in her lower back and legs and could not move properly. She was hospitalized.",Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5397274494171143
10,An employee was cutting wood with a jig saw when the blade hit a nail. The saw jumped and the blade contacted an artery in the employee's wrist requiring hospitalization and surgery.,"Cuts, lacerations","Cuts, lacerations","Cuts, lacerations",0.3820171356201172
11,"An employee was walking up a ramp from the street to the building when he fell on the ramp. His leg hit the ramp floor, injuring his left knee/thigh and causing a hematoma.","Bruises, contusions","Bruises, contusions","Bruises, contusions",0.3409717082977295
12,"An employee was walking down a flight of stairs from the fourth floor to the third floor. She twisted an ankle and fell, resulting in an ankle fracture.",Fractures,Fractures,Fractures,0.24054360389709473
13,"A crew had finished paving a 1200+ ft. stretch of interstate. While the paver was being backed up to its starting point, the paver suffered an unknown mechanical failure that caused the engine to stall. The paver lunged forward and an employee on the paver lost his balance and fell forward onto the floor of the paver seating area. The employee struck his head on the metal handrail, causing a laceration to the head.","Cuts, lacerations","Cuts, lacerations","Cuts, lacerations",0.3848137855529785
14,An employee was climbing up a ladder and slipped and fell onto his ankle. The employee was hospitalized.,Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5213470458984375
15,"A border patrol agent was following a group of people through a pasture. While crossing a barbed wire fence, the agent suffered cuts to the legs. The agent developed blisters and swelling and was hospitalized.","Cuts, lacerations","Cuts, lacerations","Cuts, lacerations",0.3870224952697754
16,An employee was performing fire watch duty when she walked backward and tripped over a fire extinguisher that was staged on the ground. She fractured two bones right above her ankle.,Fractures,Fractures,Fractures,0.24008417129516602
17,An employee was retrieving merchandise from a walk-in cooler when a powered industrial truck ran over her left foot.,Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5340473651885986
18,"An employee was installing a plate into a food forming machine when the plate slipped and crushed his right ring finger between the plate and the frame, resulting in a soft tissue amputation to the fingertip with a reattachment surgery.",Amputations,Amputations,"Avulsions, enucleations without bone loss",0.24769997596740723
19,An employee was installing a strand to hang fibers below the power lines when a new pole fell on the employee's back. They experienced an electric shock and sustained third-degree burns.,Third or fourth degree electrical burns,Third or fourth degree electrical burns,Third or fourth degree electrical burns,0.38753628730773926
20,"An employee tripped over a large dolly and fell to the floor, hitting several items on the way down. She suffered a broken bone in her left thigh and a strained right wrist.",Fractures,Fractures,Fractures,0.24817132949829102
21,"On or about April 15, 2015, at 3:30 p.m., an employee climbed up on a 4-foot railing to cut the banding off of a bundle of lumber when he slipped and fell on his back.  He sustained five broken ribs and five cracked vertebrae.",Fractures,Fractures,Fractures,0.2458806037902832
22,"An employee was cutting meat with a bandsaw when the saw amputated his right little fingertip, which was reattached at the hospital.",Amputations,Amputations,Amputations,0.23968052864074707
23,An employee was handling an aluminum panel at a folding machine when his cut resistant glove got caught by the dogs (teeth of the machine that grab the panel). The employee sustained a partial amputation to his left thumb tip.,Amputations,Amputations,"Amputations, avulsions, enucleations  unspecified",0.24825024604797363
24,"An employee was standing on a platform breaking a package jam from an outbound chute. He lost balance, slipped, and fell backward off the loading dock. He landed on the ground and sustained a fractured elbow.",Fractures,Fractures,Fractures,0.2424788475036621
25,"At about 11:00 a.m. on February 21, 2019, an employee was retrieving a steel channel beam from a stack. The employee pried two steel channel beams apart with a 12-inch pry bar to attach a lifting device. One beam slid off the other, and the employee's right ring fingertip was pinched between the beams and was amputated.",Amputations,Amputations,Amputations,0.24897980690002441
