,precision,recall,f1-score,support
2,0.0,0.0,0.0,2.0
4,0.9412685982772122,0.9820261437908496,0.9612155137944822,1224.0
5,0.0,0.0,0.0,22.0
6,0.0,0.0,0.0,39.0
7,0.0,0.0,0.0,2.0
9,0.0,0.0,0.0,3.0
11,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,2.0
16,0.7037037037037037,0.7037037037037037,0.7037037037037037,27.0
17,0.0,0.0,0.0,4.0
18,0.0,0.0,0.0,1.0
20,0.8611111111111112,0.9117647058823529,0.8857142857142857,34.0
21,0.0,0.0,0.0,2.0
23,0.0,0.0,0.0,3.0
27,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,21.0
32,0.0,0.0,0.0,3.0
33,0.8387096774193549,0.9285714285714286,0.8813559322033898,28.0
34,0.0,0.0,0.0,4.0
38,0.0,0.0,0.0,1.0
39,0.8367346938775511,0.9111111111111111,0.8723404255319149,45.0
41,0.0,0.0,0.0,2.0
42,0.8738738738738738,0.9150943396226415,0.8940092165898618,106.0
43,0.0,0.0,0.0,8.0
44,0.7816901408450704,0.9694323144104804,0.8654970760233918,229.0
45,0.0,0.0,0.0,13.0
47,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,1.0
51,0.7586206896551724,0.9166666666666666,0.8301886792452831,24.0
52,0.0,0.0,0.0,2.0
54,0.0,0.0,0.0,1.0
56,0.0,0.0,0.0,3.0
57,0.0,0.0,0.0,1.0
59,0.0,0.0,0.0,2.0
60,0.0,0.0,0.0,2.0
61,0.7692307692307693,0.8333333333333334,0.8,36.0
62,0.6,0.8888888888888888,0.7164179104477612,27.0
64,0.0,0.0,0.0,3.0
66,0.12280701754385964,0.875,0.2153846153846154,8.0
68,0.0,0.0,0.0,45.0
69,0.0,0.0,0.0,1.0
70,0.7272727272727273,1.0,0.8421052631578947,24.0
74,1.0,1.0,1.0,2.0
75,0.0,0.0,0.0,2.0
76,0.0,0.0,0.0,1.0
77,0.9264620729588883,0.9944064636420137,0.9592326139088729,1609.0
78,0.0,0.0,0.0,6.0
79,0.0,0.0,0.0,14.0
80,1.0,0.2857142857142857,0.4444444444444444,7.0
81,1.0,0.28205128205128205,0.44,39.0
82,0.0,0.0,0.0,53.0
83,0.0,0.0,0.0,10.0
84,0.0,0.0,0.0,4.0
85,0.0,0.0,0.0,4.0
86,0.0,0.0,0.0,1.0
88,0.0,0.0,0.0,1.0
89,0.9333333333333333,0.875,0.9032258064516129,16.0
91,0.8761061946902655,0.9519230769230769,0.9124423963133641,104.0
92,0.0,0.0,0.0,1.0
93,0.6153846153846154,0.8888888888888888,0.7272727272727273,18.0
94,1.0,0.8,0.8888888888888888,5.0
95,0.0,0.0,0.0,2.0
96,0.0,0.0,0.0,8.0
97,0.0,0.0,0.0,2.0
98,0.7857142857142857,1.0,0.88,11.0
99,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
103,1.0,1.0,1.0,1.0
105,0.0,0.0,0.0,1.0
110,0.0,0.0,0.0,2.0
111,0.7108433734939759,0.8194444444444444,0.7612903225806451,72.0
113,0.0,0.0,0.0,7.0
114,0.0,0.0,0.0,1.0
115,0.0,0.0,0.0,3.0
116,0.7421875,0.8715596330275229,0.8016877637130801,109.0
