,Text,Predicted Label,LLM Response,True Label,Prediction Time
0,"An employee was performing maintenance on a horizontal grinder and had the guard in an upright position to access the work area. A strong gust of wind displaced the guard and it fell on the employee's head, resulting in torn neck ligaments. The employee was wearing a hard hat at the time of the incident.",Traumatic injuries or exposures  unspecified,Traumatic injuries or exposures  unspecified,"Major tears to muscles, tendons, ligaments",0.479219913482666
9,"The morning after a shift spent repeatedly bending and lifting up to 20 pounds, a temporary employee suffered pain in her lower back and legs and could not move properly. She was hospitalized.",Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5397274494171143
14,An employee was climbing up a ladder and slipped and fell onto his ankle. The employee was hospitalized.,Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5213470458984375
17,An employee was retrieving merchandise from a walk-in cooler when a powered industrial truck ran over her left foot.,Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5340473651885986
18,"An employee was installing a plate into a food forming machine when the plate slipped and crushed his right ring finger between the plate and the frame, resulting in a soft tissue amputation to the fingertip with a reattachment surgery.",Amputations,Amputations,"Avulsions, enucleations without bone loss",0.24769997596740723
23,An employee was handling an aluminum panel at a folding machine when his cut resistant glove got caught by the dogs (teeth of the machine that grab the panel). The employee sustained a partial amputation to his left thumb tip.,Amputations,Amputations,"Amputations, avulsions, enucleations  unspecified",0.24825024604797363
35,"Two employees were loading the directional drill bit into the bucket on a backhoe when the drill bit slipped and the injured employee's right ring finger was crushed between the drill bit and the bucket, resulting in a fingertip amputation.",Amputations,Amputations,"Amputations, avulsions, enucleations  unspecified",0.24568653106689453
38,"A driver climbed on top of a garbage truck to close the doghouse door on the compactor. He slipped and fell, suffering a broken right wrist, a compound fracture above his right elbow, and a dislocation to the elbow. He was hospitalized, requiring surgery.",Fractures,Fractures,Fractures and dislocations,0.2462635040283203
40,"An employee opened the door of an enclosure and, while looking at a termination, was struck in the right eye by a disconnect panel shaft. The eye was injured.",Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5255477428436279
42,"An employee was using a chain come-along to release a table form from the ceiling. As the employee was pulling the chain, the chain broke and struck the employee in the abdomen. The employee was hospitalized.",Unknown,"Soreness, pain, hurt-nonspecified",Internal injuries to organs and blood vessels of the trunk,0.522869348526001
45,An employee was operating a pallet jack in order to lift an electrical panel assembly onto a cart. The load tipped over onto the employee. The employee was hospitalized with left leg and hip injuries.,Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5235135555267334
47,"An employee was assisting other workers in moving a patient from a bariatric bed to an exam table using a lifting device. Two employees were pushing the patient and two were pulling. While pushing the patient, the injured employee felt pain in her lower back, radiating up to her shoulder blades. The employee was hospitalized with a pelvic injury.",Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5520679950714111
57,An employee was delivering mail when a dog bit their wrist causing a laceration.,"Cuts, lacerations","Cuts, lacerations","Cuts, lacerations, punctures without injury to internal structures",0.3852686882019043
75,"An employee was draining liquids from the fluid pot through a ball valve. The employee opened the valve and noticed some debris blocking the port and the employee begin to open and close the valve to clear the debris. Once the debris broke loose, it struck the employee in his left leg causing him to lose his balance and fall to the ground in the direct path of the 920 lbs. of gas pressure and debris. The employee sustained contact burns to his arms as well as contusions to his chest and legs.","Heat (thermal) burns, unspecified","Heat (thermal) burns, unspecified","Burns and other injuries, n.e.c.",0.44841837882995605
77,"An employee was walking alongside a forklift when the forklift turned and pinned the employee between it and the wall. He suffered abdominal pain and difficulty breathing, requiring hospitalization.",Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5093867778778076
84,An employee was struck in the forehead by a ratchet chain binder handle.,"Intracranial injuries, unspecified","Intracranial injuries, unspecified","Soreness, pain, hurt-nonspecified injury",0.46785640716552734
92,"An employee was re-working parts while operating a 250-ton press on the pass line when the machine actuated and their right hand was crushed. The employee sustained amputations to their middle and ring fingers, as well as fractures to their right arm and hand.",Amputations,Amputations,"Amputations, avulsions, enucleations  unspecified",0.24764156341552734
97,An employee was operating a CNC machine and was caught in the machine resulting in partial amputation of their left middle fingertip.,Amputations,Amputations,"Amputations, avulsions, enucleations  unspecified",0.24042892456054688
100,"On 10/07/2017, an employee received first degree arc flash burns to his face, requiring hospitalization.",Electrical burns  any degree,Electrical burns  any degree,First degree electrical burns,0.3747591972351074
114,An employee was tripping pipe out of a hole on a 96 F day when he passed out due to heat exhaustion.,"Heat exhaustion, prostration","Heat exhaustion, prostration",Multiple effects of heat and light,0.33391761779785156
123,An employee was transporting liquid nitrogen to a lab in a cryogenic storage dewar. Some of the liquid nitrogen spilled on his hand and burned it. He was hospitalized.,"Heat (thermal) burns, unspecified","Heat (thermal) burns, unspecified","Other burns, unspecified",0.43183255195617676
124,An employee slipped and fell off a dumpster while throwing trash. The employee landed on the ground and suffered a head and neck injury.,Unknown,"Soreness, pain, hurt-nonspecified","Soreness, pain, hurt-nonspecified injury",0.5158770084381104
