,Text,Predicted Label,LLM Response,True Label,Prediction Time
0,"An employee was performing maintenance on a horizontal grinder and had the guard in an upright position to access the work area. A strong gust of wind displaced the guard and it fell on the employee's head, resulting in torn neck ligaments. The employee was wearing a hard hat at the time of the incident.",Sprains and cuts,Sprains and cuts,"Major tears to muscles, tendons, ligaments",1.1861753463745117
1,"An employee was on a ladder installing a security camera. The employee fell to the ground about 20 feet below and suffered multiple injuries, including fractures to their back and arms.",Unknown,"Multiple fractures and other injuries, unspecified",Fractures,0.9859926700592041
2,"On October 18, 2022, at approximately 4:45 p.m., an employee was attempting to retrieve a glass jar of product that had fallen between a transition point of two conveyors. The employee's right hand made contact with the conveyor belt, causing the skin on the top of their hand to be removed. The employee was hospitalized.",Unknown,"Amputations, avulsions, enucle","Avulsions, enucleations",1.0683014392852783
3,"An employee slipped on a clear cosmetic substance on a store floor. She fell, suffering a head laceration and a concussion.",Unknown,Fractures and concussions,Concussions,0.9304208755493164
4,"An employee was loading a 60-pound stainless steel part onto a soup kettle fixture. The part fell onto his thumb, resulting in a possible amputation.",Abrasions,1,Amputations,0.6983938217163086
5,"On June 4, 2019, an employee was using an ATV to spray herbicide along the grass beside a highway. The vehicle got stuck in a rut and was being pulled out by another ATV when it rolled over, ejecting her to the ground. She suffered a fracture to the lower left leg and was hospitalized.","Fractures and other injuries, unspecified","Fractures and other injuries, unspecified",Fractures,1.0200717449188232
6,"On February 16, 2019, an employee was placing a liquor bottle on a shelf. The bottle broke and lacerated his right palm. He was hospitalized.",Unknown,Cuts and lacerations,"Cuts, lacerations",0.9312541484832764
7,A driver was unjamming a load of freight. He fell from the freight and broke his lower leg.,Fractures,Fractures,Fractures,0.7911906242370605
8,"An employee was taking down a shore post for deck forming. After removing the pin from the shore post, he put his left hand on the top portion of the post and his right middle finger in one of the adjustment holes for the pin. When he proceeded to remove the shore post, it slid down and his middle finger was caught between the adjustable top slide and the adjustment hole itself, lacerating the very tip of his middle finger and resulting in an amputation.",Abrasions,1,Amputations,0.7084412574768066
9,"The morning after a shift spent repeatedly bending and lifting up to 20 pounds, a temporary employee suffered pain in her lower back and legs and could not move properly. She was hospitalized.",Dislocations,Dislocations,"Soreness, pain, hurt-nonspecified injury",0.7521843910217285
10,An employee was cutting wood with a jig saw when the blade hit a nail. The saw jumped and the blade contacted an artery in the employee's wrist requiring hospitalization and surgery.,Unknown,"Fractures and other injuries, n.e.c","Cuts, lacerations",1.0689289569854736
11,"An employee was walking up a ramp from the street to the building when he fell on the ramp. His leg hit the ramp floor, injuring his left knee/thigh and causing a hematoma.",Sprains and cuts,Sprains and cuts,"Bruises, contusions",0.8394560813903809
12,"An employee was walking down a flight of stairs from the fourth floor to the third floor. She twisted an ankle and fell, resulting in an ankle fracture.",Fractures,Fractures,Fractures,0.7930996417999268
13,"A crew had finished paving a 1200+ ft. stretch of interstate. While the paver was being backed up to its starting point, the paver suffered an unknown mechanical failure that caused the engine to stall. The paver lunged forward and an employee on the paver lost his balance and fell forward onto the floor of the paver seating area. The employee struck his head on the metal handrail, causing a laceration to the head.",Unknown,Lacerations,"Cuts, lacerations",0.8011391162872314
14,An employee was climbing up a ladder and slipped and fell onto his ankle. The employee was hospitalized.,"Fractures and other injuries, unspecified","Fractures and other injuries, unspecified","Soreness, pain, hurt-nonspecified injury",1.0217769145965576
15,"A border patrol agent was following a group of people through a pasture. While crossing a barbed wire fence, the agent suffered cuts to the legs. The agent developed blisters and swelling and was hospitalized.",Cuts and abrasions or bruises,Cuts and abrasions or bruises,"Cuts, lacerations",0.9794378280639648
16,An employee was performing fire watch duty when she walked backward and tripped over a fire extinguisher that was staged on the ground. She fractured two bones right above her ankle.,Fractures,Fractures,Fractures,0.7957262992858887
17,An employee was retrieving merchandise from a walk-in cooler when a powered industrial truck ran over her left foot.,"Fractures and other injuries, unspecified","Fractures and other injuries, unspecified","Soreness, pain, hurt-nonspecified injury",1.026611089706421
18,"An employee was installing a plate into a food forming machine when the plate slipped and crushed his right ring finger between the plate and the frame, resulting in a soft tissue amputation to the fingertip with a reattachment surgery.",Unknown,"Amputations, avulsions, enucle","Avulsions, enucleations without bone loss",1.0752670764923096
19,An employee was installing a strand to hang fibers below the power lines when a new pole fell on the employee's back. They experienced an electric shock and sustained third-degree burns.,Second degree electrical burns,Second degree electrical burns,Third or fourth degree electrical burns,0.844395637512207
20,"An employee tripped over a large dolly and fell to the floor, hitting several items on the way down. She suffered a broken bone in her left thigh and a strained right wrist.","Fractures and other injuries, unspecified","Fractures and other injuries, unspecified",Fractures,1.0468361377716064
21,"On or about April 15, 2015, at 3:30 p.m., an employee climbed up on a 4-foot railing to cut the banding off of a bundle of lumber when he slipped and fell on his back.  He sustained five broken ribs and five cracked vertebrae.","Fractures and other injuries, unspecified","Fractures and other injuries, unspecified",Fractures,1.0320475101470947
22,"An employee was cutting meat with a bandsaw when the saw amputated his right little fingertip, which was reattached at the hospital.",Abrasions,1,Amputations,0.7099640369415283
23,An employee was handling an aluminum panel at a folding machine when his cut resistant glove got caught by the dogs (teeth of the machine that grab the panel). The employee sustained a partial amputation to his left thumb tip.,Abrasions,1,"Amputations, avulsions, enucleations  unspecified",0.7101361751556396
24,"An employee was standing on a platform breaking a package jam from an outbound chute. He lost balance, slipped, and fell backward off the loading dock. He landed on the ground and sustained a fractured elbow.",Fractures,Fractures,Fractures,0.8007280826568604
25,"At about 11:00 a.m. on February 21, 2019, an employee was retrieving a steel channel beam from a stack. The employee pried two steel channel beams apart with a 12-inch pry bar to attach a lifting device. One beam slid off the other, and the employee's right ring fingertip was pinched between the beams and was amputated.",Abrasions,1,Amputations,0.7138962745666504
26,An employee was working as a packer on the thermal folding floor. A plastic blister fell down into a stacker. The employee went to get the fallen plastic blister when their left middle finger was pinched between two pieces of the stacker resulting in amputation of the fingertip to the nail.,Amputations,Amputations,Amputations,0.8101291656494141
27,"An employee was cutting lumber on a table saw when their left hand contacted the saw, resulting in lacerations to three fingers that required surgery.","Cuts, lacerations","Cuts, lacerations","Cuts, lacerations",0.9441430568695068
28,"An employee was operating a pallet jack when their right leg became pinned between a guardrail and the pallet jack, resulting in a broken lower leg.",Fractures,Fractures,Fractures,0.8043203353881836
29,"An employee stepped over a pump, put his arm out to brace himself, and came in contact with a valve which then opened and sprayed sulfuric acid on him. He was hospitalized with chemical burns to the face and neck.","Chemical burns and corrosions, unspecified","Chemical burns and corrosions, unspecified","Chemical burns and corrosions, unspecified",1.0321509838104248
30,A well tender was working on a gas pipeline when gas ignited. The employee sustained burns to their face.,"Multiple traumatic injuries to muscles, tendons, ligaments, joints, etc.",141,"Heat (thermal) burns, unspecified",0.8042323589324951
31,"A 14-foot deep trench caved in while an employee was operating a track hoe nearby causing the track hoe to tilt. When he attempted to exit the machine, his foot was caught between the door and the ground, fracturing his left ankle.",Fractures,Fractures,Fractures,0.8068826198577881
32,"A maintenance employee was working on an air cylinder on the log deck that was not operating properly. The employee entered the area and while troubleshooting, the air cylinder actuated. The employee's hand was pinched by an arm that came down, resulting in a crush injury to the left hand.",Crushing injuries,Crushing injuries,Crushing injuries,0.8081991672515869
33,"An employee's finger was caught between the operators handle of a pallet jack and the VRC gate, resulting in a left fingertip amputation.",Abrasions,1,Amputations,0.7161738872528076
34,"An employee was working on an overhead screen guard and leaning over to check jig alignment on the line. The employee had cut the welds loose on a check gig and held it up with a come-along to relocate it. The remaining single bead broke loose, causing the check gig to catch the employee's left-hand fingers against the column for the top of the check gig. The little finger was crushed and lacerated and the ring finger was partially amputated at the nailbed.",Unknown,"Amputations, avulsions, enucle",Amputations,1.0941436290740967
