,precision,recall,f1-score,support
1,0.0,0.0,0.0,0.0
2,0.25,0.5,0.3333333333333333,2.0
4,0.9151193633952255,0.2818627450980392,0.4309806371018114,1224.0
5,0.2,0.045454545454545456,0.07407407407407407,22.0
6,0.0,0.0,0.0,39.0
7,0.0,0.0,0.0,2.0
9,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,2.0
16,0.7142857142857143,0.18518518518518517,0.29411764705882354,27.0
17,0.0,0.0,0.0,4.0
18,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,0.0
20,1.0,0.23529411764705882,0.38095238095238093,34.0
21,0.0,0.0,0.0,2.0
23,0.0,0.0,0.0,3.0
24,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,21.0
32,0.0,0.0,0.0,3.0
33,0.65,0.4642857142857143,0.5416666666666666,28.0
34,0.0,0.0,0.0,4.0
38,0.0,0.0,0.0,1.0
39,0.8571428571428571,0.13333333333333333,0.23076923076923078,45.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,2.0
42,0.7543859649122807,0.8113207547169812,0.7818181818181819,106.0
43,0.05263157894736842,0.125,0.07407407407407407,8.0
44,0.8367346938775511,0.17903930131004367,0.2949640287769784,229.0
45,0.0,0.0,0.0,13.0
47,1.0,1.0,1.0,1.0
50,0.0,0.0,0.0,1.0
51,0.0,0.0,0.0,24.0
52,0.08695652173913043,1.0,0.16,2.0
54,0.0,0.0,0.0,1.0
56,0.0,0.0,0.0,3.0
57,0.0,0.0,0.0,1.0
59,0.0,0.0,0.0,2.0
60,0.0,0.0,0.0,2.0
61,0.0,0.0,0.0,36.0
62,0.36363636363636365,0.14814814814814814,0.21052631578947367,27.0
64,0.0,0.0,0.0,3.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,8.0
68,0.7714285714285715,0.6,0.675,45.0
69,0.04,1.0,0.07692307692307693,1.0
70,0.13333333333333333,0.08333333333333333,0.10256410256410256,24.0
74,0.25,1.0,0.4,2.0
75,1.0,1.0,1.0,2.0
76,0.0,0.0,0.0,1.0
77,0.9859002169197397,0.564947172156619,0.718293164757013,1609.0
78,0.0,0.0,0.0,6.0
79,0.0,0.0,0.0,14.0
80,0.0,0.0,0.0,7.0
81,0.8275862068965517,0.6153846153846154,0.7058823529411765,39.0
82,0.0,0.0,0.0,53.0
83,0.007947019867549669,0.6,0.01568627450980392,10.0
84,0.0,0.0,0.0,4.0
85,0.0,0.0,0.0,4.0
86,0.0,0.0,0.0,1.0
88,0.0,0.0,0.0,1.0
89,1.0,0.625,0.7692307692307693,16.0
91,1.0,0.019230769230769232,0.03773584905660377,104.0
92,0.0,0.0,0.0,1.0
93,0.22857142857142856,0.8888888888888888,0.36363636363636365,18.0
94,0.7142857142857143,1.0,0.8333333333333334,5.0
95,0.3333333333333333,0.5,0.4,2.0
96,0.5,0.125,0.2,8.0
97,0.18181818181818182,1.0,0.3076923076923077,2.0
98,1.0,0.18181818181818182,0.3076923076923077,11.0
99,1.0,0.3333333333333333,0.5,12.0
103,0.0,0.0,0.0,1.0
105,0.0,0.0,0.0,1.0
110,0.0,0.0,0.0,2.0
111,0.0,0.0,0.0,72.0
113,0.0,0.0,0.0,7.0
114,0.0,0.0,0.0,1.0
115,0.0,0.0,0.0,3.0
116,0.8888888888888888,0.07339449541284404,0.13559322033898305,109.0
117,0.0,0.0,0.0,1.0
119,0.0,0.0,0.0,0.0
120,0.09523809523809523,1.0,0.17391304347826086,2.0
122,0.8571428571428571,0.3333333333333333,0.48,18.0
125,0.0,0.0,0.0,11.0
127,0.0,0.0,0.0,5.0
128,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,2.0
130,0.0,0.0,0.0,5.0
131,0.0,0.0,0.0,4.0
132,0.0,0.0,0.0,2.0
133,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,6.0
139,0.0,0.0,0.0,3.0
140,0.0,0.0,0.0,1.0
141,0.0,0.0,0.0,2.0
142,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,7.0
145,0.25,0.2,0.2222222222222222,5.0
146,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,4.0
150,0.0,0.0,0.0,1.0
151,0.0,0.0,0.0,1.0
152,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,14.0
155,0.0,0.0,0.0,1.0
158,0.0,0.0,0.0,1.0
160,0.0,0.0,0.0,3.0
162,0.0,0.0,0.0,1.0
165,0.14285714285714285,0.5,0.2222222222222222,2.0
166,0.0,0.0,0.0,1.0
167,0.0,0.0,0.0,16.0
169,0.0,0.0,0.0,1.0
170,0.0,0.0,0.0,1.0
171,0.25,1.0,0.4,2.0
175,0.0,0.0,0.0,1.0
178,0.0,0.0,0.0,4.0
180,0.0,0.0,0.0,22.0
182,0.7317073170731707,0.4166666666666667,0.5309734513274337,72.0
184,0.0,0.0,0.0,1.0
185,0.10526315789473684,0.6666666666666666,0.18181818181818182,3.0
186,0.25,0.8333333333333334,0.38461538461538464,6.0
187,0.3979591836734694,0.8125,0.5342465753424658,48.0
190,0.375,0.23076923076923078,0.2857142857142857,13.0
193,0.0,0.0,0.0,1.0
194,0.0,0.0,0.0,360.0
195,0.0,0.0,0.0,1.0
196,0.0,0.0,0.0,1.0
197,0.0,0.0,0.0,5.0
199,0.025,1.0,0.04878048780487805,3.0
202,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,3.0
205,0.0,0.0,0.0,8.0
206,1.0,1.0,1.0,1.0
209,0.0,0.0,0.0,1.0
210,0.0,0.0,0.0,14.0
214,0.0,0.0,0.0,5.0
215,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,3.0
217,0.0,0.0,0.0,2.0
218,0.0,0.0,0.0,1.0
219,0.5,0.16666666666666666,0.25,6.0
220,0.7368421052631579,0.56,0.6363636363636364,25.0
221,0.0,0.0,0.0,1.0
222,0.0,0.0,0.0,7.0
223,0.11029411764705882,0.15625,0.12931034482758622,96.0
224,0.0,0.0,0.0,19.0
226,0.0,0.0,0.0,3.0
227,0.0,0.0,0.0,4.0
231,0.125,1.0,0.2222222222222222,1.0
236,0.0,0.0,0.0,0.0
accuracy,0.333,0.333,0.333,0.333
macro avg,0.1622851193686458,0.1668547311471037,0.12021094826394108,5000.0
weighted avg,0.7120242656970461,0.333,0.4243022711131624,5000.0
