,precision,recall,f1-score,support
0,0.6666666666666666,1.0,0.8,10.0
1,0.8333333333333334,1.0,0.9090909090909091,10.0
2,1.0,0.1,0.18181818181818182,10.0
3,0.7142857142857143,0.5,0.5882352941176471,10.0
4,0.5294117647058824,0.9,0.6666666666666666,10.0
5,1.0,0.1,0.18181818181818182,10.0
6,0.0,0.0,0.0,10.0
7,0.4,1.0,0.5714285714285714,10.0
8,0.0,0.0,0.0,10.0
9,0.0,0.0,0.0,10.0
10,0.6666666666666666,0.4,0.5,10.0
11,0.0,0.0,0.0,10.0
12,0.16666666666666666,0.1,0.125,10.0
13,0.18,0.9,0.3,10.0
accuracy,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
macro avg,0.4397879151660664,0.42857142857142855,0.34457555749572555,140.0
weighted avg,0.43978791516606636,0.42857142857142855,0.34457555749572555,140.0
